CountryOrTerritory,ReportingYear,UpdateTime,StationLocalId,SamplingPointLocalId,SamplingPoint_Latitude,SamplingPoint_Longitude,Pollutant,AggregationType,Namespace,Unit,BeginPosition,EndPosition,Validity,Verification,DataCoverage,DataCapture,TimeCoverage,AQValue
Italy,2013,2019-02-08T08:42:56.403333Z,STA.IT1863A,SPO.IT1863A_5_nephelometry_2007-01-01_00:00:00,41.759443999999995,14.208888999999997,Particulate matter < 10 µm (aerosol),1 year 90.4 percentile - COMPLIANCE,IT.ISPRA.AQD,ug.m-3,2013-01-01,2014-01-01,Not valid,Verified,31.50684932,100,31.50684932,15
Italy,2013,2019-02-08T08:42:56.403333Z,STA.IT1961A,SPO.IT1961A_5_BETA_2012-10-05_00:00:00,46.314779999999999,8.2559199999999997,Particulate matter < 10 µm (aerosol),1 year 90.4 percentile - COMPLIANCE,IT.ISPRA.AQD,ug.m-3,2013-01-01,2014-01-01,Not valid,Verified,45.75342466,100,45.75342466,11
Italy,2013,2019-02-08T08:42:56.403333Z,STA.IT1804A,SPO.IT1804A_5_nephelometry_2006-02-01_00:00:00,41.484170000000006,14.047219999999998,Particulate matter < 10 µm (aerosol),1 year 90.4 percentile - COMPLIANCE,IT.ISPRA.AQD,ug.m-3,2013-01-01,2014-01-01,Not valid,Verified,55.61643836,100,55.61643836,119
Italy,2013,2019-02-08T08:42:56.403333Z,STA.IT1996A,SPO.IT1996A_5_BETA_2010-04-30_00:00:00,40.256388999999992,8.7730560000000004,Particulate matter < 10 µm (aerosol),1 year 90.4 percentile - COMPLIANCE,IT.ISPRA.AQD,ug.m-3,2013-01-01,2014-01-01,Not valid,Verified,7.12328767,100,7.12328767,32
Italy,2013,2019-02-08T08:42:56.403333Z,STA.IT1453A,SPO.IT1453A_5_BETA_2004-01-01_00:00:00,45.371943999999985,11.841944,Particulate matter < 10 µm (aerosol),1 year 90.4 percentile - COMPLIANCE,IT.ISPRA.AQD,ug.m-3,2013-01-01,2014-01-01,Valid,Verified,95.89041096,100,95.89041096,70
Italy,2013,2019-02-08T08:42:56.403333Z,STA.IT1619A,SPO.IT1619A_5_BETA_2004-05-04_00:00:00,46.030833000000001,11.905832999999999,Particulate matter < 10 µm (aerosol),1 year 90.4 percentile - COMPLIANCE,IT.ISPRA.AQD,ug.m-3,2013-01-01,2014-01-01,Valid,Verified,98.63013699,100,98.63013699,54
Italy,2013,2019-02-08T08:42:56.403333Z,STA.IT1665A,SPO.IT1665A_5_BETA_2009-04-01_00:00:00,40.45888999999999,18.116109999999999,Particulate matter < 10 µm (aerosol),1 year 90.4 percentile - COMPLIANCE,IT.ISPRA.AQD,ug.m-3,2013-01-01,2014-01-01,Valid,Verified,89.04109589,100,89.04109589,31.7
Italy,2013,2019-02-08T08:42:56.403333Z,STA.IT1848A,SPO.IT1848A_5_BETA_2007-01-15_00:00:00,45.589999999999996,11.037780000000001,Particulate matter < 10 µm (aerosol),1 year 90.4 percentile - COMPLIANCE,IT.ISPRA.AQD,ug.m-3,2013-01-01,2014-01-01,Valid,Verified,98.90410959,100,98.90410959,35
Italy,2013,2019-02-08T08:42:56.403333Z,STA.IT2010A,SPO.IT2010A_5_BETA_2012-01-01_00:00:00,40.831388999999994,8.4052779999999991,Particulate matter < 10 µm (aerosol),1 year 90.4 percentile - COMPLIANCE,IT.ISPRA.AQD,ug.m-3,2013-01-01,2014-01-01,Valid,Verified,98.35616438,100,98.35616438,35.6
Italy,2013,2019-02-08T08:42:56.403333Z,STA.IT0063A,SPO.IT0063A_5_BETA_2000-05-05_00:00:00,42.939166999999991,10.534166999999998,Particulate matter < 10 µm (aerosol),1 year 90.4 percentile - COMPLIANCE,IT.ISPRA.AQD,ug.m-3,2013-01-01,2014-01-01,Valid,Verified,97.26027397,100,97.26027397,35
