Region;Popluation;Surface
Lombardia;10.103.969;23.863,65
Lazio;5.865.544;17.232,29
Campania;5.785.861;13.670,95
Sicilia;4.968.410;25.832,39
Veneto;4.907.704;18.345,35
Emilia-Romagna;4.467.118;22.452,78
Piemonte;4.341.375;25.387,07
Puglia;4.008.296;19.540,90
Toscana;3.722.729;22.987,04
Calabria;1.924.701;15.221,90
Sardegna;1.630.474;24.100,02
Liguria;1.543.127;5.416,21
Marche;1.518.400;9.401,38
Abruzzo;1.305.770;10.831,84
Friuli Venezia Giulia;1.211.357;7.924,36
Trentino-Alto Adige;1.074.819;13.605,50
Umbria;880.285;8.464,33
Basilicata;556.934;10.073,32
Molise;302.265;4.460,65
Valle d'Aosta;125.501;3.260,90
